Cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2024-01,,0.2283,0.4623,0.8468,0.9701,1.0851,1.1332,1.1332,1.1332,1.1574,1.1574,1.1574,1.1574,1.1574,1.1574,1.1574,1.1574,1.1574,1.1574,1.1574,1.1574,1.1574,1.1574,1.1574,1.1574
2024-02,0.0553,0.2848,0.5434,0.7496,0.9917,1.2018,1.3045,1.3045,1.3305,1.3305,1.3305,1.3305,1.3305,1.3305,1.3305,1.3305,1.3305,1.3305,1.3305,1.3305,1.3305,1.3305,1.3305,1.3305,1.3305
2024-03,0.0973,0.3277,0.5564,0.7783,0.977,1.167,1.2109,1.2612,1.2761,1.283,1.2869,1.2911,1.2948,1.2948,1.2948,1.2948,1.2948,1.2948,1.2948,1.2948,1.2948,1.2948,1.2948,1.2948,1.2948
2024-04,0.1001,0.3571,0.576,0.8,1.0299,1.2069,1.276,1.3124,1.3289,1.3289,1.3289,1.3722,1.3722,1.3722,1.3722,1.3722,1.3722,1.3722,1.3722,1.3722,1.3722,1.3722,1.3722,1.3722,1.3722
2024-05,0.0826,0.3178,0.5427,0.7417,0.9498,1.1941,1.2876,1.2965,1.3003,1.3056,1.3056,1.3056,1.3056,1.3056,1.3056,1.3056,1.3056,1.3056,1.3056,1.3056,1.3056,1.3056,1.3056,1.3056,1.3056
2024-06,0.1354,0.3542,0.5898,0.7841,0.9721,1.1109,1.2019,1.2402,1.2506,1.2573,1.2682,1.2682,1.2682,1.2704,1.276,1.2776,1.2776,1.282,1.2865,1.293,1.299,1.3031,1.3031,1.3031,1.3031
2024-07,0.1404,0.377,0.6078,0.8398,1.0319,1.2562,1.2693,1.3148,1.3148,1.3286,1.3286,1.3286,1.3286,1.3286,1.3286,1.3286,1.3286,1.3286,1.3286,1.3286,1.3286,1.3286,1.3286,1.3286,1.3286
2024-08,0.0454,0.2885,0.5405,0.7606,0.9792,1.1968,1.3008,1.3174,1.3234,1.3288,1.3288,1.3288,1.3288,1.3363,1.3547,1.3578,1.367,1.367,1.367,1.367,1.367,1.367,1.367,1.367,1.367
2024-09,0.0783,0.3173,0.5442,0.7895,0.9887,1.1655,1.2979,1.3162,1.3395,1.3503,1.3576,1.3576,1.3682,1.378,1.3878,1.3878,1.3878,1.3903,1.3903,1.3903,1.3903,1.3903,1.3903,1.3903,1.3903
2024-10,0.089,0.3366,0.5988,0.8176,0.9906,1.151,1.223,1.2533,1.2555,1.2668,1.2902,1.2967,1.2967,1.3071,1.3238,1.3315,1.3315,1.3315,1.3315,1.3315,1.3315,1.3315,1.3315,1.3315,1.3315
2024-11,0.0818,0.2759,0.4496,0.5914,0.7192,0.7907,0.837,0.8822,0.9084,0.9569,0.9861,0.9993,1.0262,1.0293,1.0356,1.043,1.043,1.043,1.043,1.043,1.043,1.043,1.043,1.043,1.043
2024-12,0.1077,0.2616,0.4292,0.5387,0.5851,0.617,0.6324,0.6636,0.6682,0.7144,0.7799,0.8225,0.8798,0.9435,0.9584,0.9693,0.9693,0.9693,0.9693,0.9693,0.9693,0.9693,0.9693,0.9693,0.9693
